"Domain","OU","TotalUsers","ActiveUsers","InactiveUsers","NeverLoggedInUsers","ServiceAccountsManaged","ServiceAccountsGroupManaged","ServiceAccountsPasswordNeverExpires","ServiceAccountsPatternMatched"
"aymericdev.local","CN=Managed Service Accounts,CN=Service03","1","0","0","1","1","0","0","0"
"aymericdev.local","CN=Managed Service Accounts,CN=Service04","1","0","0","1","0","1","0","0"
"aymericdev.local","CN=Managed Service Accounts,CN=Service05","1","0","0","1","0","1","0","0"
"aymericdev.local","CN=Managed Service Accounts,CN=ServiceAccountAymeric","1","0","0","1","0","0","1","0"
"aymericdev.local","CN=Managed Service Accounts,CN=svc_test","1","0","0","1","0","0","1","0"
"aymericdev.local","CN=Users,CN=Aymeric TheSecond","1","0","0","1","0","0","1","0"
"aymericdev.local","CN=Users,CN=aymeric-admin-boss","1","1","0","0","0","0","0","0"
"aymericdev.local","CN=Users,CN=AYMERICPRD$","1","0","0","1","0","0","0","0"
"aymericdev.local","OU=For_Testing_Secure_Delette,CN=OU_Testing_User1","1","0","0","1","0","0","1","0"
"aymericdev.local","OU=For_Testing_Secure_Delette,CN=OU_Testing_User2","1","0","0","1","0","0","1","0"
"aymericdev.local","OU=For_Testing_the_users,CN=OU_GRP_User_Testing3","1","0","0","1","0","0","1","0"
"aymericdev.local","OU=For_Testing_the_users,CN=OU_GRP_User_Testing4","1","0","0","1","0","0","1","0"
"aymericprd.local","CN=Users,CN=aymeric-admin-boss","1","1","0","0","0","0","0","0"
"aymericprd.local","CN=Users,CN=AYMERICDEV$","1","0","0","1","0","0","0","0"
